id;date_creation;etat;date_debut;date_fin;motif
1;2026-05-21T14:37:25;CLOSED;2026-05-21T22:27:29;2026-05-21T14:04:25;Azerbaijan payment implement
2;2026-05-21T16:09:41;INEXECUTION;2026-05-21T13:08:16;2026-05-22T00:24:19;Supervisor
3;2026-05-21T13:01:56;ACTIF;2026-05-21T18:07:04;2026-05-21T21:13:33;Officer Handcrafted
4;2026-05-22T08:03:05;ACTIF;2026-05-21T09:59:38;2026-05-21T11:02:28;Soap Cotton Customer
5;2026-05-22T00:01:59;CANCELED;2026-05-21T20:58:34;2026-05-21T13:27:19;Lead Accounts
6;2026-05-21T15:09:24;DRAFT;2026-05-21T09:02:49;2026-05-21T20:31:22;orchestration
7;2026-05-21T09:57:40;INEXECUTION;2026-05-21T18:42:56;2026-05-21T10:18:16;uniform Samoa
8;2026-05-21T14:59:02;INEXECUTION;2026-05-22T01:16:34;2026-05-21T11:40:37;connect synthesize Engineer
9;2026-05-21T21:02:02;CANCELED;2026-05-22T06:28:56;2026-05-21T17:07:30;program
10;2026-05-21T11:58:57;CLOSED;2026-05-22T04:14:57;2026-05-21T11:07:22;Agent
