id;type;date_creation;date_action;date_fin;etat
1;ASSISTANT;2026-05-21T16:25:51;2026-05-22T00:32:24;2026-05-21T16:22:58;CANCELED
2;ASSISTANT;2026-05-21T18:38:12;2026-05-21T10:58:11;2026-05-21T12:51:23;CANCELED
3;MEMBRE;2026-05-22T01:47:17;2026-05-21T16:21:06;2026-05-21T09:22:50;ACTIF
4;ASSISTANT;2026-05-22T00:46:41;2026-05-22T02:35:51;2026-05-22T01:50:47;ACTIF
5;INTERIM;2026-05-21T20:05:54;2026-05-21T14:10:20;2026-05-21T21:51:05;CANCELED
6;CHEF;2026-05-21T18:06:55;2026-05-21T18:54:16;2026-05-21T16:19:51;CLOSED
7;ASSISTANT;2026-05-22T04:09:08;2026-05-22T05:18:07;2026-05-21T10:05:15;ACTIF
8;CHEF;2026-05-21T19:45:56;2026-05-21T17:10:41;2026-05-21T16:30:15;CLOSED
9;ASSISTANT;2026-05-21T21:07:56;2026-05-22T08:15:13;2026-05-21T09:07:50;DRAFT
10;MEMBRE;2026-05-21T18:01:38;2026-05-21T08:43:13;2026-05-22T07:26:06;INEXECUTION
