id;date_debut;date_fin;type;status
1;2026-05-21T13:52:03;2026-05-21T17:42:52;hacking Fresh Mouse;Cheese compressing Shoes
2;2026-05-22T00:00:34;2026-05-21T19:30:01;Home networks;eyeballs gold Harbor
3;2026-05-21T22:42:09;2026-05-21T13:04:47;Buckinghamshire Branding Fantastic;Soft
4;2026-05-21T11:24:01;2026-05-21T22:31:53;Customizable;Computer Proactive neural
5;2026-05-21T14:51:54;2026-05-21T21:11:25;encoding;Account Executive COM
6;2026-05-21T16:40:05;2026-05-21T22:06:25;Tuna;Stravenue of
7;2026-05-21T16:43:57;2026-05-22T08:14:48;Reactive Home;paradigms
8;2026-05-21T19:30:40;2026-05-22T01:03:26;Intelligent solid;Supervisor
9;2026-05-22T05:15:47;2026-05-21T22:03:57;Credit Down-sized Small;Assistant
10;2026-05-22T05:30:21;2026-05-22T01:05:20;invoice;methodical Manager
