id;code;nom;status;email
1;Internal monitoring;e-tailers Wall;INEXECUTION;Elissa49@yahoo.com
2;compressing XML;back-end;ACTIF;Natalia.Brekke@yahoo.com
3;synthesize withdrawal driver;whiteboard;CANCELED;Skylar.Funk98@gmail.com
4;moderator;Table invoice gold;DRAFT;Brannon.Gleason42@yahoo.com
5;e-services;facilitate Bedfordshire;DRAFT;Alexandro.Blick@yahoo.com
6;Steel;Shirt Virginia USB;ACTIF;Thora_Schoen56@gmail.com
7;Chips;Cambridgeshire;CANCELED;Rex_Feeney@gmail.com
8;Borders York;enhance matrix Handcrafted;CANCELED;Bethel_Klocko@yahoo.com
9;radical Toys;Applications Advanced;CANCELED;Donnie54@hotmail.com
10;bypass Clothing e-business;Table Court;CLOSED;Myrtice.Turner20@gmail.com
