id;abreviation;nom;date_creation;etat
1;transmit;Assurance 4th Account;2026-05-22T02:56:11;Synchronised
2;withdrawal Planner Wyoming;Frozen;2026-05-21T10:19:37;programming digital
3;Handcrafted;feed Bulgaria;2026-05-21T18:34:55;Island
4;infrastructures Throughway Plastic;payment redundant;2026-05-21T22:58:27;HTTP Concrete
5;Branding actuating;back-end hacking;2026-05-21T19:42:13;enterprise
6;synthesizing Table;Ngultrum;2026-05-21T18:00:25;Pants Future
7;Frozen black Technician;Small;2026-05-21T20:00:46;Grocery Unbranded systems
8;Pataca Home Accounts;black United pixel;2026-05-21T15:11:28;Account
9;software eyeballs harness;solid deposit customer;2026-05-22T02:35:58;robust JSON productize
10;1080p circuit Usability;Ergonomic;2026-05-22T07:08:24;HTTP payment
