id;code;nom;date_creation;date_activation;etat
1;Via Incredible SSL;back-end;2026-05-22T07:36:10;2026-05-21T09:38:54;INEXECUTION
2;firewall salmon Incredible;Assimilated unleash;2026-05-21T09:54:30;2026-05-22T08:15:27;CLOSED
3;Centralized Towels back-end;indigo;2026-05-21T09:19:16;2026-05-22T05:47:15;DRAFT
4;cross-platform blue;HDD microchip;2026-05-21T18:33:05;2026-05-22T00:31:30;DRAFT
5;Zambia distributed;Soap Anguilla;2026-05-21T15:36:34;2026-05-22T08:29:11;DRAFT
6;Mauritania Front-line;Ergonomic Expressway;2026-05-22T04:38:27;2026-05-21T13:21:39;INEXECUTION
7;Cliffs XML Future;Chief enterprise Sausages;2026-05-21T10:39:42;2026-05-21T11:47:03;ACTIF
8;multi-byte vortals;Berkshire;2026-05-21T08:54:51;2026-05-21T11:28:20;INEXECUTION
9;synthesize;Borders;2026-05-21T22:27:28;2026-05-22T01:31:25;INEXECUTION
10;Sharable Garden;Pants;2026-05-22T04:17:37;2026-05-22T04:55:43;CLOSED
