id;code;nom;date_creation;date_action;date_expiration;etat
1;Account;Brand Steel;2026-05-22T01:27:10;2026-05-21T15:02:09;2026-05-21T09:19:14;INEXECUTION
2;lavender Dynamic;Berkshire;2026-05-21T19:22:00;2026-05-21T12:21:37;2026-05-21T17:14:15;CANCELED
3;Towels Wisconsin Central;Handcrafted;2026-05-21T14:27:12;2026-05-21T20:33:25;2026-05-22T07:05:14;CANCELED
4;copy groupware;supply-chains;2026-05-21T15:02:46;2026-05-21T15:23:19;2026-05-21T19:27:36;CLOSED
5;bandwidth Concrete Tasty;Car product;2026-05-21T11:50:50;2026-05-22T04:23:43;2026-05-21T18:59:32;INEXECUTION
6;withdrawal lime;generate executive open-source;2026-05-21T18:36:08;2026-05-21T22:30:10;2026-05-21T15:02:31;INEXECUTION
7;Kwacha;Afghani;2026-05-21T17:40:01;2026-05-22T03:28:35;2026-05-21T10:18:41;DRAFT
8;blue Chair Practical;Albania Seamless;2026-05-22T00:52:30;2026-05-22T03:49:56;2026-05-21T10:07:54;CLOSED
9;Account XML Franc;Lesotho Polarised;2026-05-21T11:04:50;2026-05-21T15:55:24;2026-05-22T01:59:20;INEXECUTION
10;USB back;recontextualize;2026-05-22T00:02:42;2026-05-22T02:06:31;2026-05-21T19:10:27;INEXECUTION
