id;nom;abreviation;date_creation;status
1;SCSI;Rubber;2026-05-21;Zambian Grocery
2;cross-media Frozen;Shirt;2026-05-21;Lari
3;interactive Developer;Checking Representative;2026-05-21;generate Developer
4;Investor Liberia Turnpike;drive;2026-05-22;Parkways FTP hack
5;quantify;Senior Namibia Generic;2026-05-21;Corporate Investor
6;e-tailers;Identity USB;2026-05-21;Handcrafted Licensed Cotton
7;Licensed Metrics;clear-thinking;2026-05-21;International
8;Money transparent;Franc;2026-05-21;Corporate bluetooth mindshare
9;Granite;Phased Meadow Directives;2026-05-21;Checking impactful
10;quantify;copying Loan Soap;2026-05-21;Generic generate best-of-breed
